,Brewery,Address,City,State,ZIP Code
0,5 Rivers Brewing LLC,,Spanish Fort,AL,36527
1,Avondale Brewing Co,201 41st St S,Birmingham,AL,35222
2,Back Forty Beer Co,200 N 6th St,Gadsden,AL,35901
3,Back Forty Beer Company - Birmingham,3201 1st Avenue N,Birmingham,AL,35222
4,Below the Radar Brewing Co,220 Holmes Ave NE,Huntsville,AL,35801
5,Big Beach Brewing Company,300 E 24th Ave,Gulf Shores,AL,36542
6,Birmingham District Brewing,2201 2nd Ave S Ste 102,Birmingham,AL,35233
7,Black Warrior Brewing Co.,2216 University Blvd,Tuscaloosa,AL,35401
8,Blue Pants Brewery,"500 Lanier Rd, Bld 1 - Ste A",Madison,AL,35758
9,Braided River Brewing Company,,Mobile,AL,36606
10,"Brewery in Planning - Columbiana, AL",,Columbiana,AL,35051
11,Cahaba Brewing Co,4500 5th Ave S Ste C,Birmingham,AL,35222
12,Chandler's Ford Brewing LLC,,Huntsville,AL,35801
13,Chattahoochee Brewing Co,505 13th St Ste A,Phenix City,AL,36867
14,Cheaha Brewing Co,1208 Walnut Ave,Anniston,AL,36201
15,"Common Bond Brewers, LLC",424 Bibb Street Suite 150,Montgomery,AL,36104
16,Cross-Eyed Owl Brewing Co.,105 1st Ave NE,Decatur,AL,35601
17,Druid City Brewing,607 14th St,Tuscaloosa,AL,35401
18,Fairhope Brewing Co,914 Nichols Ave,Fairhope,AL,36532
19,Folklore Brewing,153 Mary Lou Ln,Dothan,AL,36301
20,Garr's Beer Co.,2620 Clinton Ave. W,Huntsville,AL,35805
21,Ghost Train Brewing Co,2616 3rd Ave S,Birmingham,AL,35233
22,Goat Island Brewing,1646 A John H Cooper Drive,Cullman,AL,35055
23,Good People Brewing Co,114 14th St S,Birmingham,AL,35233
24,Green Bus Brewing,206 Eustis Ave SE,Huntsville,AL,35801
25,GTs On the Bay,26189 Canal Rd,Orange Beach,AL,36561
26,Haint Blue Brewing Company,806 Monroe Street,Mobile,AL,36602
27,"Hard Times Brewing Company, Inc.",,Pelham,AL,35124
28,InnerSpace Brewing Company,2414 Clinton Ave W,Huntsville,AL,35805
29,Mad Malts Brewery & Tap Room,109 Maple Ave NW,Huntsville,AL,35801
30,Main Channel Brewing Company,2090 Gunter Ave,Guntersville,AL,35976
31,Neighbors,,Birmingham,AL,35223
32,Old Black Bear Brewing,208 Main St,Madison,AL,35758
33,Old Majestic Brewing Company,,Mobile,AL,36602
34,Red Clay Brewing Company,704 N Railroad Ave,Opelika,AL,36801
35,Rocket Republic Brewing Company,289 Production Ave,Madison,AL,35758
36,Salty Nut Brewery,2406 Clinton Ave W,Huntsville,AL,35805
37,Sand Mtn brewery,,Section,AL,35771
38,Serda Brewing Company,600 Government St,Mobile,AL,36602
39,Siluria Brewing Company,145 1st Ave W,Alabaster,AL,35007
40,"Singin' River Brewing Company, LLC",526 E College St,Florence,AL,35630
41,Slag Heap Brewing Company,227 Main St,Trussville,AL,35173
42,Southern Ale Works,,Huntsville,AL,35803
43,Straight to Ale,2610 Clinton Ave W,Huntsville,AL,35805
44,Tallulah Brewing Company,1804 4th Ave S,Jasper,AL,35501
45,The Grocery Brewpub,2823 Central Ave Ste 107,Birmingham,AL,35209
46,The Railyard Brewing Co,12 W Jefferson St Ste 100,Montgomery,AL,36104
47,Trim Tab Brewing,2721 5th Ave S,Birmingham,AL,35233
48,Twisted Barley Brewing Company,520 19th St W,Jasper,AL,35501
49,Yellowhammer Brewery,2600 Clinton Ave W,Huntsville,AL,35805
50,49th State Brewing Co,248 Parks Hwy 5 Mile,Healy,AK,99743
51,49th State Brewing Co - Anchorage,717 W 3rd Ave,Anchorage,AK,99501
52,Alaskan Brewing Co.,5429 Shaune Dr,Juneau,AK,99801
53,Anchorage Brewing Co,148 W 91st Ave,Anchorage,AK,99515
54,Arkose Brewery,650 E Steel Loop,Palmer,AK,99645
55,Baleen Brewing Co.,884 Mizzen Lane,Ketchikan,AK,99901
56,Baranof Island Brewing Co,1209 Sawmill Creek Rd Ste A,Sitka,AK,99835
